diag,proc,msp,din
A000,34830,0010,44123021
A001,34831,0011,44123033
A009,34832,0019,44123026
A0100,35081,0020,44123064
A0101,35082,0021,44123046
A0102,35091,0022,44123063
A0103,35092,0023,44123051
A0104,35102,0029,44123047
A0105,35103,0030,44123056
A0109,23900,0031,44123038
A011,23920,00320,44123059
A012,24900,00321,44123037
A013,24920,00322,44123065
A014,24930,00323,44123060
A020,24931,00324,44123044
A021,25900,00329,44123058
A0220,25905,0038,44123028
A0221,25909,0039,44123040
A0222,25920,0040,44123053
A0223,25922,0041,44123055
A0224,25924,0042,44123034
A0225,25927,0043,44123052
A0229,25929,0048,44123043
A028,25931,0049,44123042
A029,26235,0050,44123062
A030,26236,0051,44123025
A031,26910,0052,44123049
A032,26951,0053,44123024
A033,26952,0054,44123029
A038,27290,00581,44123048
A039,27295,00589,44123035
A040,27590,0059,44123061
A041,27591,0060,44123057
A042,27592,0061,44123036
A043,27598,0062,44123045
A044,27880,0063,48123021
A045,27881,0064,48123033
A046,27882,0065,48123026
A047,27884,0066,48123064
A0471,27886,0068,48123046
A0472,27888,0069,48123063
A048,27889,0070,48123051
A049,28124,0071,48123047
A050,28126,0072,48123056
A051,28160,0073,48123038
A052,28800,0074,48123059
A053,28805,0075,48123037
A054,28810,0078,48123065
A055,28820,0079,48123060
A058,28825,00800,48123044
A059,44900,00801,48123058
A060,44950,00802,48123028
A061,44955,00803,48123040
A062,44960,00804,48123053
A063,44970,00809,48123055
A064,44979,0081,48123034
A065,36800,0082,48123052
A066,36810,0083,48123043
A067,36815,00841,48123042
A0681,36818,00842,48123062
A0682,36819,00843,48123025
A0689,36820,00844,48123049
A069,36821,00845,48123024
A070,36825,00846,48123029
A071,36830,00847,48123048
A072,36832,00849,48123035
A073,36833,0085,48123061
A074,36838,00861,48123057
A078,47010,00862,48123036
A079,47015,00863,48123045
A080,47100,00864,43120002
A0811,47120,00865,43120003
A0819,47122,00866,43120006
A082,47125,00867,43120007
A0831,47130,00869,45230011
A0832,47140,0088,45230012
A0839,47141,0090,45230016
A084,47142,0091,45230017
A088,47300,0092,45230018
A09,47350,0093,263818
A150,47360,01000,502790
A154,47361,01001,821373
A155,47362,01002,2239007
A156,47370,01003,80025653
A157,47371,01004,2200104
A158,47379,01005,1985205
A159,47380,01006,55123655
A170,47381,01010,2445158
A171,47400,01011,789445
A1781,47420,01012,789437
A1782,47425,01013,789429
A1783,47460,01014,11120001
A1789,47700,01015,11200016
A179,47701,01016,11200021
A1801,47711,01080,11120002
A1802,47712,01081,11120003
A1803,47715,01082,11120004
A1809,47760,01083,11200005  
A1810,47765,01084,11200006
A1811,47780,01085,11200007
A1812,47785,01086,11200008
A1813,47800,01090,11200009
A1814,47802,01091,11200010
A1815,47900,01092,11200011
A1816,48000,01093,11200012
A1817,48001,01094,11200013
A1818,48020,01095,11200014
A182,48100,01096,11200015
A1831,48105,01100,22123277
A1832,48120,01101,22123280
A1839,48140,01102,22123305
A184,48145,01103,22123283
A1850,48146,01104,22123303
A1851,48148,01105,22123286
A1852,48150,01106,22123278
A1853,48152,01110,22123279
A1854,48153,01111,22123281
A1859,48154,01112,22123304
A186,48155,01113,22123284
A187,48160,01114,22123285
A1881,48500,01115,22123282
A1882,48510,01116,22123337
A1883,48520,01120,66123252
A1884,48540,01121,66124162
A1885,48545,01122,66123367
A1889,48548,01123,66124164
A190,0585T,01124,66128214
A191,0586T,01125,66128215
A192,11970,01126,66128216
A198,19101,01130,66128217
A199,19105,01131,66128218
A200,19110,01132,66128219
A201,19112,01133,66128220
A202,19120,01134,66123239
A203,19125,01135,22123354
A207,19126,01136,66127954
A208,19300,01140,66128087
A209,19301,01141,66128088
A210,19302,01142,66128089
A211,19303,01143,66128090
A212,19305,01144,66128091
A213,19306,01145,66128092
A217,19307,01146,66128387
A218,19316,01150,66128388
A219,19318,01151,66128153
A220,19324,01152,66128154
A221,19325,01153,66128390
A222,19328,01154,6612815
A227,19330,01155,11200017
A228,19340,01156,263818
A229,19342,01160,502790
A230,19350,01161,821373
A231,19355,01162,2239007
A232,19357,01163,80025653
A233,19361,01164,2200104
A238,19364,01165,1985205
A239,19366,01166,55123655
A240,19367,01170,2445158
A241,19368,01171,789445
A242,19369,01172,789437
A243,19370,01173,789429
A249,19371,01174,
A250,19380,01175,
A251,32658,01176,
A259,32659,01180,
A260,32661,01181,
A267,33020,01182,
A268,33025,01183,
A269,33030,01184,
A270,33031,01185,
A2781,33050,01186,
A2789,33120,01190,
A279,33130,01191,
A280,33250,01192,
A281,33251,01193,
A282,33254,01194,
A288,33255,01195,
A289,33256,01196,
A300,33257,01200,
A301,33258,01201,
A302,33259,01202,
A303,33261,01203,
A304,33265,01204,
A305,33266,01205,
A308,33267,01206,
A309,33268,01210,
A310,33269,01211,
A311,33300,01212,
A312,33305,01213,
A318,33310,01214,
A319,33315,01215,
A320,33365,01216,
A3211,33366,01220,
A3212,33390,01221,
A327,33391,01222,
A3281,33404,01223,
A3282,33405,01224,
A3289,33406,01225,
A329,33410,01226,
A33,33411,01230,
A34,33412,01231,
A35,33413,01232,
A360,33414,01233,
A361,33415,01234,
A362,33416,01235,
A363,33417,01236,
A3681,33420,01280,
A3682,33422,01281,
A3683,33425,01282,
A3684,33426,01283,
A3685,33427,01284,
A3686,33430,01285,
A3689,33440,01286,
A369,33460,01300,
A3700,33463,01301,
A3701,33464,01302,
A3710,33465,01303,
A3711,33468,01304,
A3780,33471,01305,
A3781,33474,01306,
A3790,33475,01310,
A3791,33476,01311,
A380,33478,01312,
A381,33496,01313,
A388,33542,01314,
A389,33545,01315,
A390,33548,01316,
A391,33600,01320,
A392,33602,01321,
A393,33608,01322,
A394,33610,01323,
A3950,33611,01324,
A3951,33612,01325,
A3952,33615,01326,
A3953,33617,01330,
A3981,33619,01331,
A3982,33641,01332,
A3983,33645,01333,
A3984,33647,01334,
A3989,33660,01335,
A399,33665,01336,
A400,33670,01340,
A401,33675,01341,
A403,33676,01342,
A408,33677,01343,
A409,33681,01344,
A4101,33684,01345,
A4102,33688,01346,
A411,33692,01350,
A412,33694,01351,
A413,33697,01352,
A414,33702,01353,
A4150,33710,01354,
A4151,33720,01355,
A4152,33732,01356,
A4153,33735,01360,
A4154,33736,01361,
A4159,33737,01362,
A4181,33770,01363,
A4189,33774,01364,
A419,33776,01365,
A420,33780,01366,
A421,33782,01380,
A422,33783,01381,
A427,33786,01382,
A4281,33813,01383,
A4282,33814,01384,
A4289,33920,01385,
A429,33975,01386,
A430,33976,01390,
A431,33977,01391,
A438,33978,01392,
A439,33979,01393,
A440,33980,01394,
A441,0051T,01395,
A448,0052T,01396,
A449,0053T,01400,
A46,33509,01401,
A480,33510,01402,
A481,33511,01403,
A482,33512,01404,
A483,33513,01405,
A484,33514,01406,
A4851,33516,01480,
A4852,35600,01481,
A488,33533,01482,
A4901,33534,01483,
A4902,33535,01484,
A491,33536,01485,
A492,35301,01486,
A493,35390,01500,
A498,47480,01501,
A499,47562,01502,
A5001,47563,01503,
A5002,47564,01504,
A5003,47570,01505,
A5004,47600,01506,
A5005,47605,01510,
A5006,47610,01511,
A5007,47612,01512,
A5008,47620,01513,
A5009,47720,01514,
A501,47721,01515,
A502,47740,01516,
A5030,47741,01520,
A5031,44025,01521,
A5032,44110,01522,
A5039,44111,01523,
A5040,44137,01524,
A5041,44140,01525,
A5042,44141,01526,
A5043,44143,01550,
A5044,44144,01551,
A5045,44145,01552,
A5049,44146,01553,
A5051,44147,01554,
A5052,44150,01555,
A5053,44151,01556,
A5054,44155,01560,
A5055,44156,01561,
A5056,44157,01562,
A5057,44158,01563,
A5059,44160,01564,
A506,44188,01565,
A507,44204,01566,
A509,44205,01570,
A510,44206,01571,
A511,44207,01572,
A512,44208,01573,
A5131,44210,01574,
A5132,44211,01575,
A5139,44212,01576,
A5141,44213,01580,
A5142,44227,01581,
A5143,44320,01582,
A5144,44322,01583,
A5145,44340,01584,
A5146,44345,01585,
A5149,44346,01586,
A515,44604,01590,
A519,44605,01591,
A5200,44620,01592,
A5201,44625,01593,
A5202,44626,01594,
A5203,61105,01595,
A5204,61107,01596,
A5205,61108,01600,
A5206,61120,01601,
A5209,61140,01602,
A5210,61150,01603,
A5211,61151,01604,
A5212,61154,01605,
A5213,61156,01606,
A5214,61210,01610,
A5215,61250,01611,
A5216,61253,01612,
